game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo,havoc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (56-7),0,17,24.0,226,3,40,205,5,5.1,64,6.7,4,13,4,24,2,19,0,0,1,2.0,24.0,35.0,133.0,1.0,26.0,78.0,0.0,3.0,61.0,3.5,1.0,5.0,1.0,13.0,9.0,84.0,1.0,1.0,15.829615144237165,,,,,,,,,
W (17-3),1,10,23.0,107,0,42,203,2,4.8,65,4.8,3,10,3,16,5,35,1,0,0,2.0,14.0,28.0,87.0,0.0,46.0,177.0,0.0,3.8,74.0,3.6,0.0,10.0,0.0,14.0,5.0,40.0,1.0,1.0,28.80403430438548,,,,,,,,,
W (40-17),0,10,13.0,164,0,43,193,3,4.5,56,6.4,0,9,0,17,6,40,0,0,0,3.0,15.0,27.0,107.0,1.0,35.0,154.0,1.0,4.4,62.0,4.2,0.0,10.0,0.0,15.0,3.0,15.0,0.0,3.0,67.86554646028164,,,,,,,,,
W (24-21),0,10,21.0,238,2,42,177,1,4.2,63,6.6,0,11,0,18,5,45,0,0,1,0.0,14.0,24.0,150.0,2.0,36.0,100.0,0.0,2.8,60.0,4.2,2.0,5.0,2.0,13.0,2.0,13.0,0.0,0.0,104.74493146475548,,,,,,,,,
W (42-28),0,15,23.0,219,0,46,288,6,6.3,69,7.3,1,17,1,28,6,50,0,0,1,1.0,20.0,34.0,272.0,2.0,24.0,206.0,2.0,8.6,58.0,8.2,2.0,8.0,2.0,21.0,8.0,60.0,0.0,1.0,151.83323467566214,,,,,,,,,
W (27-24),0,16,24.0,259,2,44,192,1,4.4,68,6.6,0,11,0,21,8,72,0,0,0,3.0,6.0,17.0,93.0,1.0,42.0,244.0,2.0,5.8,59.0,5.7,2.0,12.0,2.0,18.0,5.0,28.0,1.0,2.0,188.11826837256024,,,,,,,,,
L (34-40),1,22,43.0,275,2,44,219,2,5.0,87,5.7,3,11,3,30,7,70,0,1,0,0.0,21.0,30.0,208.0,0.0,45.0,319.0,5.0,7.1,75.0,7.0,2.0,18.0,2.0,27.0,5.0,60.0,0.0,0.0,-7.13110062992877,,,,,,,,,
L (19-22),2,22,40.0,200,0,50,217,0,4.3,90,4.6,3,11,3,27,2,15,1,1,0,1.0,5.0,15.0,31.0,0.0,27.0,177.0,2.0,6.6,42.0,5.0,0.0,6.0,0.0,7.0,8.0,65.0,0.0,1.0,-6.307175219423055,,,,,,,,,
L (24-27),1,18,31.0,305,2,26,111,1,4.3,57,7.3,3,6,3,18,6,60,1,0,1,0.0,19.0,28.0,373.0,2.0,45.0,196.0,1.0,4.4,73.0,7.8,1.0,11.0,1.0,25.0,9.0,108.0,0.0,0.0,10.54653072720864,,,,,,,,,
W (48-38),2,23,33.0,391,4,32,180,3,5.6,65,8.8,2,6,2,24,5,45,1,1,1,1.0,23.0,42.0,287.0,1.0,43.0,301.0,4.0,7.0,85.0,6.9,3.0,15.0,3.0,33.0,9.0,74.0,1.0,0.0,26.580188030984147,,,,,,,,,
W (42-14),2,14,21.0,255,3,39,254,3,6.5,60,8.5,2,10,2,19,4,50,1,1,0,2.0,16.0,31.0,121.0,2.0,47.0,139.0,0.0,3.0,78.0,3.3,3.0,9.0,3.0,17.0,6.0,69.0,1.0,1.0,60.5847864979377,,,,,,,,,
W (55-27),1,23,36.0,296,4,33,236,3,7.2,69,7.7,3,12,3,29,2,30,0,1,1,4.0,26.0,39.0,277.0,1.0,24.0,83.0,1.0,3.5,63.0,5.7,0.0,8.0,0.0,20.0,9.0,70.0,1.0,3.0,100.40382403548844,,,,,,,,,
L (24-31),5,33,47.0,340,2,25,91,1,3.6,72,6.0,3,4,3,23,5,55,1,4,0,1.0,13.0,17.0,162.0,3.0,39.0,145.0,1.0,3.7,56.0,5.5,3.0,5.0,3.0,16.0,9.0,90.0,1.0,0.0,-13.708669332433493,,,,,,,,,
W (21-20),0,18,30.0,204,1,37,145,2,3.9,67,5.2,0,10,0,20,5,36,0,0,0,0.0,18.0,32.0,246.0,0.0,34.0,108.0,2.0,3.2,66.0,5.4,1.0,6.0,1.0,18.0,6.0,45.0,0.0,0.0,26.25354205703472,,,,,,,,,
L (41-43),1,25,35.0,303,5,42,203,0,4.8,77,6.6,2,12,2,28,12,99,0,1,0,1.0,14.0,25.0,219.0,1.0,33.0,146.0,5.0,4.4,58.0,6.3,8.0,8.0,8.0,23.0,8.0,72.0,1.0,0.0,7.19566666230793,,,,,,,,,
W (27-24),1,25,32.0,275,3,30,88,0,2.9,62,5.9,1,10,1,21,4,20,0,1,1,0.0,18.0,33.0,276.0,2.0,29.0,131.0,1.0,4.5,62.0,6.6,0.0,9.0,0.0,23.0,2.0,20.0,0.0,0.0,44.65966216819832,,,,,,,,,
W (34-31),0,21,35.0,214,2,27,207,2,7.7,62,6.8,3,7,3,22,8,87,0,0,0,0.0,22.0,35.0,262.0,2.0,30.0,77.0,2.0,2.6,65.0,5.2,3.0,4.0,3.0,18.0,11.0,83.0,0.0,0.0,82.56309577080506,,,,,,,,,
W (59-23),1,30,41.0,527,5,25,92,3,3.7,66,9.4,0,3,0,24,6,65,0,1,0,3.0,10.0,23.0,82.0,1.0,42.0,224.0,2.0,5.3,65.0,4.7,3.0,14.0,3.0,22.0,3.0,30.0,1.0,2.0,119.12993659958909,,,,,,,,,
