game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo
W (63-0),1,12,18,266,3,47,334,6,7.1,65,9.2,2,14,2,25,7,59,1,0,1,2,22,40,103,0,27,42,0,1.6,67,2.2,1,3,1,10,4,40,0,2,10.886036174364143
W (42-10),0,16,22,226,3,34,181,3,5.3,56,7.3,0,10,0,18,4,40,0,0,0,2,18,31,141,1,41,149,0,3.6,72,4.0,2,8,2,17,4,23,2,0,49.95145587976715
L (35-40),2,18,24,310,1,21,84,4,4.0,45,8.8,0,5,0,17,6,57,1,1,0,0,16,21,252,2,54,166,2,3.1,75,5.6,4,9,4,26,3,20,0,0,64.12715739292999
L (17-24),2,25,45,239,1,34,75,1,2.2,79,4.0,3,8,3,23,15,115,0,2,0,3,14,28,194,1,43,214,2,5.0,71,5.7,6,7,6,21,11,95,1,2,78.92522536187597
L (20-66),3,18,43,214,1,27,149,1,5.5,70,5.2,4,9,4,24,7,73,1,2,0,1,32,39,460,5,34,252,4,7.4,73,9.8,1,11,1,28,8,85,1,0,-2.6017825574315996
L (14-48),2,21,40,266,1,28,119,1,4.3,68,5.7,3,9,3,24,6,47,1,1,1,1,16,24,154,2,43,318,5,7.4,67,7.0,3,16,3,27,9,69,1,0,7.049625208206111
L (24-34),5,20,42,236,3,35,155,0,4.4,77,5.1,1,11,1,25,4,28,1,4,0,1,14,23,198,2,36,166,2,4.6,59,6.2,2,7,2,19,6,52,0,1,-15.10261093685339
W (28-20),1,13,24,212,4,34,184,0,5.4,58,6.8,0,11,0,20,5,40,0,1,1,4,27,38,332,2,36,166,0,4.6,74,6.7,2,10,2,26,3,15,3,1,31.071124096047534
W (61-39),2,19,31,422,4,26,205,4,7.9,57,11.0,1,9,1,22,9,100,1,1,1,2,24,42,260,3,38,210,2,5.5,80,5.9,4,11,4,30,8,65,0,2,20.71443860536224
W (23-10),1,19,31,197,2,30,161,0,5.4,61,5.9,1,7,1,17,5,35,0,1,0,2,20,40,280,1,29,84,0,2.9,69,5.3,0,6,0,19,3,20,0,2,34.01924202618514
L (19-41),4,26,52,275,1,32,114,1,3.6,84,4.6,2,8,2,25,8,51,1,3,0,1,19,33,251,3,27,147,1,5.4,60,6.6,2,9,2,22,3,39,1,0,11.914379834396202
L (26-31),1,22,34,308,2,25,78,2,3.1,59,6.5,1,4,1,18,5,30,1,0,1,0,18,22,198,2,40,203,2,5.1,62,6.5,0,8,0,16,7,48,0,0,-4.776563946232633
W (48-7),0,14,22,258,2,49,241,2,4.9,71,7.0,2,13,2,27,4,30,0,0,1,3,10,20,78,1,32,40,0,1.3,52,2.3,1,5,1,8,7,65,1,2,11.280515489429618
W (31-28),1,19,30,246,1,42,101,3,2.4,72,4.8,3,6,3,20,8,34,0,1,0,3,29,44,268,4,31,132,0,4.3,75,5.3,0,8,0,21,8,69,2,1,54.616082699628535
W (35-31),2,15,25,172,4,45,309,1,6.9,70,6.9,3,18,3,28,8,70,1,1,1,0,18,31,260,2,33,151,2,4.6,64,6.4,3,8,3,23,6,55,0,0,65.43795689589749
L (14-24),1,12,23,155,0,40,191,2,4.8,63,5.5,2,9,2,18,2,20,1,0,0,1,23,31,206,0,38,191,3,5.0,69,5.8,1,10,1,23,4,55,0,1,79.52613562569736
W (35-31),0,16,25,161,3,32,99,0,3.1,57,4.6,3,6,3,18,5,41,0,0,1,1,24,34,229,0,37,177,4,4.8,71,5.7,2,11,2,26,9,80,0,1,120.07931057366065
L (31-39),3,26,46,416,1,47,232,3,4.9,93,7.0,0,15,0,33,7,71,2,1,0,1,27,48,326,1,26,59,2,2.3,74,5.2,4,2,4,21,6,60,0,1,-14.583483882854493
W (24-14),2,12,28,151,1,55,183,2,3.3,83,4.0,2,14,2,21,4,20,0,2,0,5,20,35,285,2,26,146,0,5.6,61,7.1,0,5,0,17,5,45,1,4,31.747698216944016
W (19-14),0,21,30,297,0,44,137,2,3.1,74,5.9,1,8,1,23,6,45,0,0,1,0,17,29,158,0,36,174,2,4.8,65,5.1,2,6,2,16,10,60,0,0,38.40460298674623
W (58-25),1,23,29,314,5,37,359,2,9.7,66,10.2,2,13,2,30,7,70,0,1,0,5,22,31,309,2,42,162,1,3.9,73,6.5,3,9,3,24,4,48,3,2,51.35076675924926
W (28-24),2,21,32,255,2,43,141,1,3.3,75,5.3,3,10,3,24,8,74,1,1,1,2,16,29,199,1,32,163,2,5.1,61,5.9,2,6,2,19,6,55,1,1,21.255744603179043
L (7-52),4,9,23,118,1,35,64,0,1.8,58,3.1,0,4,0,12,5,50,2,2,0,2,16,25,253,2,48,237,5,4.9,73,6.7,1,14,1,25,2,15,0,2,9.675583568283766
L (9-41),2,25,39,213,0,33,171,0,5.2,72,5.3,1,7,1,20,5,35,1,1,0,0,25,30,325,4,40,266,1,6.7,70,8.4,0,13,0,28,7,48,0,0,28.47549734404759
W (34-31),2,25,40,349,0,42,185,3,4.4,82,6.5,2,9,2,26,3,25,2,0,1,4,22,33,304,2,38,162,2,4.3,71,6.6,0,10,0,23,9,52,1,3,71.86654355731311
W (24-7),1,1,4,44,1,58,405,2,7.0,62,7.2,1,19,1,21,6,44,1,0,0,1,25,37,193,1,17,42,0,2.5,54,4.4,1,4,1,16,4,17,0,1,18.14137396263295
W (42-14),0,3,7,72,1,57,417,5,7.3,64,7.6,0,20,0,23,3,25,0,0,0,1,19,30,224,2,22,-5,0,-0.2,52,4.2,0,0,0,12,1,10,0,1,54.85365950490634
W (44-10),0,3,8,102,1,56,413,5,7.4,64,8.0,1,24,1,28,4,45,0,0,1,2,25,39,242,1,24,61,0,2.5,63,4.8,1,7,1,18,6,42,0,2,91.59162857123043
W (20-3),0,5,9,48,0,43,207,2,4.8,52,4.9,2,9,2,14,6,65,0,0,1,3,10,20,92,0,40,117,0,2.9,60,3.5,2,8,2,15,4,50,0,3,133.21523942849706
L (14-21),5,14,27,165,1,30,121,1,4.0,57,5.0,4,5,4,16,6,46,1,4,1,0,25,36,233,2,34,99,1,2.9,70,4.7,1,7,1,18,11,77,0,0,-9.669413454059955
L (14-24),5,20,35,285,2,26,146,0,5.6,61,7.1,0,5,0,17,5,45,1,4,1,2,12,28,151,1,55,183,2,3.3,83,4.0,2,14,2,21,4,20,0,2,0.8858857718860769
L (13-31),0,16,27,200,0,31,137,1,4.4,58,5.8,2,6,2,18,5,25,0,0,0,0,23,29,240,2,37,141,2,3.8,66,5.8,2,9,2,21,7,85,0,0,-23.063008872755532
W (24-10),1,20,26,172,1,50,326,2,6.5,76,6.6,1,17,1,27,6,49,0,1,0,2,12,27,154,0,27,70,1,2.6,54,4.1,2,4,2,13,3,40,0,2,-16.428348237755543
L (0-62),1,18,32,109,0,20,6,0,0.3,52,2.2,1,2,1,9,3,15,0,1,0,0,30,40,507,6,31,243,2,7.8,71,10.6,0,9,0,31,8,85,0,0,-1.3238852796315426
L (7-63),3,23,38,173,1,33,77,0,2.3,71,3.5,2,7,2,19,3,20,0,3,0,0,21,29,286,5,34,220,3,6.5,63,8.0,0,12,0,29,4,45,0,0,-12.805443335552852
W (37-35),0,21,34,215,1,39,191,3,4.9,73,5.6,3,13,3,24,7,70,0,0,0,1,17,36,394,4,30,67,1,2.2,66,7.0,3,5,3,20,8,60,0,1,3.481945004803471
W (25-23),0,21,34,222,2,41,170,0,4.1,75,5.2,0,11,0,21,5,50,0,0,1,4,25,43,232,1,24,142,2,5.9,67,5.6,2,8,2,22,3,30,2,2,18.457711413179013
L (12-23),1,9,21,115,1,40,108,0,2.7,61,3.7,2,6,2,12,5,37,1,0,0,0,12,23,122,2,37,170,0,4.6,60,4.9,3,8,3,15,8,71,0,0,-9.665529657136396
L (31-38),1,11,21,148,2,41,166,1,4.0,62,5.1,0,9,0,15,7,69,1,0,0,0,25,41,341,2,42,91,3,2.2,83,5.2,4,8,4,24,6,45,0,0,-1.491330155328427
L (21-43),1,25,44,258,3,20,79,0,4.0,64,5.3,3,5,3,21,6,74,0,1,0,1,16,25,277,2,45,265,2,5.9,70,7.7,5,10,5,27,4,55,0,1,-17.858670295912297
W (38-28),1,11,20,222,3,38,343,2,9.0,58,9.7,3,12,3,23,8,93,0,1,1,2,28,42,359,1,34,74,2,2.2,76,5.7,3,4,3,25,12,84,1,1,26.62789306879978
W (56-45),1,22,31,280,1,35,371,7,10.6,66,9.9,0,10,0,23,8,90,0,1,0,1,28,50,322,2,35,139,4,4.0,85,5.4,3,9,3,27,4,35,1,0,21.156098230367082
W (45-24),1,12,21,184,2,36,276,4,7.7,57,8.1,4,10,4,21,4,30,0,1,1,1,26,37,327,2,39,89,1,2.3,76,5.5,0,8,0,21,9,63,0,1,34.25112598202973
W (28-7),0,17,25,217,2,42,233,1,5.5,67,6.7,3,10,3,23,7,62,0,0,0,0,21,36,264,1,24,15,0,0.6,60,4.7,3,3,3,17,11,95,0,0,75.59303897675338
W (56-24),0,26,34,322,4,46,219,3,4.8,80,6.8,2,14,2,34,4,37,0,0,1,2,14,30,155,2,26,101,1,3.9,56,4.6,0,6,0,12,5,42,0,2,112.4596592145391
W (28-13),0,10,16,106,2,52,263,2,5.1,68,5.4,0,12,0,18,1,15,0,0,0,1,21,42,272,1,16,21,0,1.3,58,5.1,0,3,0,13,7,50,0,1,20.682457390021064
W (23-19),1,10,16,140,1,43,152,2,3.5,59,4.9,1,9,1,16,3,25,1,0,1,4,17,35,241,0,33,127,1,3.8,68,5.4,0,9,0,21,3,25,1,3,36.93856354649329
L (14-24),3,22,30,254,2,29,65,0,2.2,59,5.4,0,6,0,17,8,85,1,2,0,0,17,28,218,1,37,121,0,3.3,65,5.2,3,8,3,21,5,28,0,0,49.70225890255888
L (27-31),0,13,28,164,3,41,154,1,3.8,69,4.6,0,7,0,14,5,40,0,0,1,3,28,38,332,2,32,129,2,4.0,70,6.6,1,7,1,24,5,34,1,2,37.86434391327279
L (27-34),2,25,40,254,2,26,121,1,4.7,66,5.7,1,4,1,20,3,18,0,2,0,1,13,20,204,2,37,234,2,6.3,57,7.7,0,10,0,21,7,76,0,1,-8.091128212722547
L (27-30),1,27,36,303,2,33,96,2,2.9,69,5.8,3,8,3,23,7,65,0,1,1,0,12,27,144,2,36,189,2,5.3,63,5.3,1,9,1,16,6,48,0,0,-28.659693042070636
L (7-17),2,10,23,98,1,33,107,0,3.2,56,3.7,3,7,3,15,5,40,1,1,1,0,15,21,108,0,52,170,1,3.3,73,3.8,2,9,2,19,4,45,0,0,-18.61160806306626
W (41-26),0,18,28,187,2,37,215,2,5.8,65,6.2,2,12,2,23,2,25,0,0,0,2,30,45,320,2,28,102,1,3.6,73,5.8,1,6,1,23,5,40,0,2,19.717551945493863
W (18-15),3,15,29,202,1,35,134,1,3.8,64,5.3,1,6,1,16,5,45,1,2,0,3,17,36,144,0,36,117,0,3.3,72,3.6,1,8,1,18,7,69,2,1,19.037124496421427
W (38-9),0,15,21,149,2,27,92,1,3.4,48,5.0,0,7,0,14,2,20,0,0,1,3,16,29,139,0,43,228,0,5.3,72,5.1,1,11,1,17,8,50,1,2,57.83703867248467
W (41-19),1,19,33,251,3,27,147,1,5.4,60,6.6,2,9,2,22,3,39,1,0,1,4,26,52,275,1,32,114,1,3.6,84,4.6,2,8,2,25,8,51,1,3,102.7123877396788
W (37-24),1,16,24,228,2,51,252,2,4.9,75,6.4,3,17,3,29,8,50,1,0,0,2,14,27,198,1,29,181,2,6.2,56,6.8,1,8,1,18,5,55,0,2,146.45693875630326
L (0-38),1,6,20,55,0,32,114,0,3.6,52,3.3,0,6,0,9,2,30,0,1,0,1,34,42,263,0,41,255,5,6.2,83,6.2,1,17,1,28,10,80,0,1,-3.761733560174888
W (23-20),1,10,17,107,1,37,77,1,2.1,54,3.4,2,4,2,9,5,74,1,0,0,2,23,43,194,0,42,165,2,3.9,85,4.2,5,8,5,24,5,55,1,1,37.87252643597188
W (30-15),0,11,20,127,1,52,230,3,4.4,72,5.0,0,12,0,19,8,64,0,0,1,2,30,49,372,2,25,46,0,1.8,74,5.6,1,2,1,21,1,5,2,0,58.308304189700145
L (16-47),2,24,39,257,1,33,126,1,3.8,72,5.3,0,8,0,22,2,20,1,1,0,1,14,19,231,2,41,258,3,6.3,60,8.2,0,13,0,22,1,5,0,1,42.58796672335916
W (21-14),0,25,36,233,2,34,99,1,2.9,70,4.7,1,7,1,18,11,77,0,0,0,5,14,27,165,1,30,121,1,4.0,57,5.0,4,5,4,16,6,46,1,4,19.698934410443
L (9-14),1,22,37,303,0,37,107,0,2.9,74,5.5,1,9,1,23,10,55,0,1,0,1,16,27,177,1,41,107,1,2.6,68,4.2,1,7,1,17,7,72,0,1,23.465426849234294
L (15-17),0,27,37,272,1,40,63,1,1.6,77,4.4,4,5,4,23,12,110,0,0,0,2,14,28,133,0,28,144,2,5.1,56,4.9,4,4,4,14,5,65,0,2,5.353842750482238
W (44-7),0,27,37,364,2,35,114,2,3.3,72,6.6,2,7,2,28,5,50,0,0,1,2,14,28,140,1,27,60,0,2.2,55,3.6,1,5,1,12,3,28,1,1,7.766540985681186
L (16-52),6,23,44,190,2,40,179,0,4.5,84,4.4,1,11,1,22,10,70,1,5,0,0,10,18,124,2,33,185,4,5.6,51,6.1,1,8,1,15,4,55,0,0,-11.459421108375206
W (37-34),1,15,21,192,2,33,335,3,10.2,54,9.8,2,10,2,19,3,35,1,0,1,0,30,40,285,3,37,146,1,3.9,77,5.6,3,9,3,27,5,55,0,0,2.4627946618815244
L (25-27),0,14,22,131,0,39,161,3,4.1,61,4.8,1,9,1,16,15,133,0,0,1,2,13,22,147,1,37,277,2,7.5,59,7.2,2,11,2,18,7,59,2,0,16.053832915384397
L (7-46),1,7,17,62,0,36,106,1,2.9,53,3.2,1,8,1,12,6,61,0,1,0,0,15,25,241,2,39,277,2,7.1,64,8.1,2,9,2,19,7,45,0,0,5.502567803091076
L (7-30),3,22,45,193,1,31,131,0,4.2,76,4.3,0,6,0,17,6,44,1,2,1,2,10,18,219,2,40,194,2,4.9,58,7.1,1,7,1,15,3,30,1,1,-7.883434435764185
L (14-52),1,14,23,119,1,33,137,1,4.2,56,4.6,1,6,1,13,7,51,1,0,0,0,18,27,288,1,41,222,6,5.4,68,7.5,4,14,4,29,3,33,0,0,-19.488339178267964
W (55-24),0,13,22,206,0,52,311,6,6.0,74,7.0,4,12,4,26,13,103,0,0,1,2,17,37,195,1,25,148,1,5.9,62,5.5,2,7,2,18,11,96,0,2,25.278208690024496
