game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo
W (42-16),3,16,26,194,2,42,199,4,4.7,68,5.8,4,8,4,20,13,120,3,0,1,0,16,36,103,0,46,206,1,4.5,82,3.8,4,11,4,21,11,92,0,0,31.0771269992549
W (41-34),1,27,33,374,2,32,173,3,5.4,65,8.4,0,6,0,21,10,90,0,1,1,4,27,50,439,3,26,80,2,3.1,76,6.8,2,5,2,25,6,50,1,3,73.38230156439016
W (27-25),2,16,23,209,1,38,104,3,2.7,61,5.1,1,9,1,20,7,67,0,2,1,4,24,32,242,2,39,132,1,3.4,71,5.3,3,9,3,23,6,49,3,1,87.22905121868786
W (34-0),0,16,26,215,0,37,271,4,7.3,63,7.7,2,11,2,22,7,85,0,0,1,3,13,24,72,0,39,167,0,4.3,63,3.8,1,12,1,15,5,55,0,3,95.05048343192536
W (21-19),3,32,47,424,2,36,81,0,2.3,83,6.1,0,6,0,25,5,61,1,2,0,2,18,28,226,1,30,98,0,3.3,58,5.6,3,6,3,16,6,42,1,1,14.50812006668493
L (37-52),2,26,44,293,2,40,180,3,4.5,84,5.6,6,10,6,32,15,158,0,2,0,0,8,14,129,3,39,236,3,6.1,53,6.9,4,13,4,21,8,85,0,0,-4.7901828635032295
W (33-26),1,18,27,299,3,38,180,1,4.7,65,7.4,2,10,2,25,5,55,1,0,1,0,16,22,192,1,34,194,2,5.7,56,6.9,2,12,2,20,6,65,0,0,5.625281130777372
L (24-38),3,17,31,226,1,40,150,2,3.8,71,5.3,4,10,4,23,3,11,1,2,0,0,14,18,150,1,41,203,4,5.0,59,6.0,1,11,1,19,8,90,0,0,20.62386269002521
L (7-31),1,26,42,268,0,19,56,1,2.9,61,5.3,0,5,0,16,9,74,0,1,0,0,14,23,156,2,41,235,1,5.7,64,6.1,2,15,2,21,3,20,0,0,11.666917621789981
L (22-28),3,28,49,301,0,30,121,1,4.0,79,5.3,3,8,3,25,3,20,1,2,1,2,17,29,214,0,29,117,3,4.0,58,5.7,0,8,0,14,6,56,2,0,21.564383157441576
L (7-34),3,16,26,138,1,34,107,0,3.1,60,4.1,3,7,3,16,9,91,2,1,1,3,23,34,250,2,39,148,2,3.8,73,5.5,3,6,3,21,6,70,1,2,4.900619755369341
L (12-56),1,24,33,256,2,25,5,0,0.2,58,4.5,1,1,1,14,10,100,1,0,0,0,20,25,294,3,44,308,5,7.0,69,8.7,4,18,4,33,5,40,0,0,-8.523799154285538
W (30-23),0,10,20,69,0,57,346,2,6.1,77,5.4,0,23,0,26,9,85,0,0,1,1,18,28,268,2,27,24,1,0.9,55,5.3,2,4,2,18,3,35,1,0,31.545284237307456
L (22-30),1,22,38,282,0,30,94,3,3.1,68,5.5,4,5,4,22,8,69,0,1,0,0,24,44,201,2,39,133,1,3.4,83,4.0,4,7,4,24,9,94,0,0,42.95348184781443
W (27-19),1,12,20,167,1,37,176,3,4.8,57,6.0,0,8,0,15,6,37,0,1,1,3,16,37,209,0,33,140,1,4.2,70,5.0,2,9,2,22,5,45,0,3,87.71018051860457
W (42-21),0,20,29,304,3,49,225,3,4.6,78,6.8,0,13,0,26,4,35,0,0,0,1,19,33,189,1,23,81,2,3.5,56,4.8,0,5,0,16,1,10,0,1,95.320756316511
W (24-14),1,21,34,275,3,38,123,0,3.2,72,5.5,2,7,2,23,8,65,1,0,0,3,24,40,258,0,25,154,2,6.2,65,6.3,2,5,2,21,5,43,1,2,142.7177769329999
W (37-27),1,11,26,161,0,38,266,4,7.0,64,6.7,5,18,5,29,6,65,0,1,1,1,23,32,235,3,35,119,0,3.4,67,5.3,3,5,3,22,10,109,0,1,6.8954016843513894
L (17-21),3,23,41,279,1,30,100,1,3.3,71,5.3,2,8,2,21,10,75,2,1,1,0,11,22,163,2,38,134,1,3.5,60,5.0,3,8,3,17,7,63,0,0,18.977019914070492
L (10-34),3,21,31,240,1,19,38,0,2.0,50,5.6,0,3,0,15,7,78,2,1,1,0,24,35,235,0,37,158,3,4.3,72,5.5,5,6,5,25,11,80,0,0,30.235976006427336
L (31-63),2,21,28,365,1,37,127,3,3.4,65,7.6,2,9,2,24,10,95,2,0,1,0,28,34,562,7,42,132,1,3.1,76,9.1,4,8,4,30,9,90,0,0,47.24977608201623
L (18-28),1,26,44,222,2,25,58,0,2.3,69,4.1,3,4,3,17,3,25,0,1,0,3,13,18,134,1,44,301,3,6.8,62,7.0,0,14,0,20,7,69,0,3,14.188244469402068
W (18-16),0,30,39,345,1,30,66,0,2.2,69,6.0,3,5,3,24,6,51,0,0,1,1,21,36,292,2,33,161,0,4.9,69,6.6,2,11,2,24,11,100,0,1,33.00783001048286
